,Request Id,prefill_e2e_time,cdf
415,415,66.59018510745526,0.262
414,414,66.62516819854811,0.2625
413,413,67.07766919963498,0.263
412,412,67.19611411237942,0.2635
411,411,67.31167251645559,0.264
410,410,67.68594844857888,0.2645
409,409,67.7522613005461,0.265
407,407,67.89627900496436,0.2655
408,408,68.00148902020354,0.266
647,647,71.54387114681273,0.2665
648,648,71.55774258091898,0.267
646,646,71.70781969643735,0.2675
645,645,71.88250852987727,0.268
644,644,71.9281657544139,0.2685
643,643,72.02171193691814,0.269
642,642,72.47618552182695,0.2695
639,639,72.54022945508927,0.27
641,641,72.61851900599652,0.2705
640,640,72.64011875284848,0.271
638,638,72.73868941855173,0.2715
637,637,72.84468542488008,0.272
636,636,72.9166322774885,0.2725
635,635,72.97123149662411,0.273
634,634,73.03336164195932,0.2735
632,632,73.04536813236325,0.274
633,633,73.11789152301196,0.2745
631,631,73.29905040325568,0.275
629,629,73.70983527090667,0.2755
630,630,73.7533080322826,0.276
628,628,73.81172390359245,0.2765
627,627,73.95561762733905,0.277
626,626,74.04298550891062,0.2775
625,625,74.31083812268784,0.278
624,624,74.4039720317179,0.2785
623,623,74.58056151085793,0.279
622,622,74.95453141181201,0.2795
621,621,75.33792470738777,0.28
620,620,75.36366344049529,0.2805
619,619,75.47822264133492,0.281
616,616,75.49623861458895,0.2815
618,618,75.49653569011542,0.282
617,617,75.51749832098199,0.2825
615,615,75.93342398520628,0.283
614,614,76.06031291666002,0.2835
613,613,76.64299815178421,0.284
612,612,76.87507320404464,0.2845
610,610,76.96962650690108,0.285
611,611,76.9829858397238,0.2855
608,608,77.19454954894567,0.286
607,607,77.19983091556455,0.2865
609,609,77.20203799042463,0.287
606,606,77.50248252297052,0.2875
605,605,77.54772043476441,0.288
604,604,77.66426237048225,0.2885
603,603,77.7192073976428,0.289
602,602,77.75865498569124,0.2895
601,601,77.79028218931299,0.29
598,598,77.82343264290174,0.2905
599,599,77.8610711768294,0.291
600,600,77.91455184736486,0.2915
597,597,78.20866224577327,0.292
595,595,78.4362105504051,0.2925
596,596,78.49097907818756,0.293
594,594,78.51140486877173,0.2935
593,593,78.60426125176582,0.294
591,591,78.98493190369192,0.2945
592,592,79.03970821961116,0.295
590,590,79.41992743967768,0.2955
589,589,79.71064011966297,0.296
588,588,79.82506760838996,0.2965
587,587,79.88587614863911,0.297
586,586,80.11095806031855,0.2975
584,584,80.13043839846068,0.298
585,585,80.15174429628391,0.2985
583,583,80.16192481795733,0.299
581,581,80.22688391000341,0.2995
582,582,80.27329531038654,0.3
578,578,80.27562644046014,0.3005
577,577,80.29815743555665,0.301
580,580,80.33592911627488,0.3015
579,579,80.36147991849245,0.302
576,576,80.40746595052306,0.3025
575,575,80.42982426575011,0.303
573,573,80.51133219279112,0.3035
574,574,80.55548416165519,0.304
572,572,80.66456428164543,0.3045
567,567,80.8581802440196,0.305
568,568,80.8753617232777,0.3055
565,565,80.9016818732583,0.306
569,569,80.92341013488144,0.3065
571,571,80.92815557293204,0.307
563,563,80.93304825947598,0.3075
564,564,80.93813147551012,0.308
570,570,80.9760959854161,0.3085
566,566,81.01159343900011,0.309
561,561,81.272855286827,0.3095
562,562,81.32078479080664,0.31
560,560,81.40075796391537,0.3105
559,559,82.26349178208372,0.311
558,558,82.62109983126157,0.3115
557,557,82.92604995926933,0.312
554,554,83.29516816834135,0.3125
556,556,83.3380417044049,0.313
555,555,83.34658668468134,0.3135
553,553,83.34958688670187,0.314
552,552,84.15980828471936,0.3145
551,551,84.61277437502139,0.315
549,549,84.81202227397574,0.3155
550,550,84.83300820034074,0.316
548,548,84.90931776820545,0.3165
547,547,85.0595003359577,0.317
543,543,85.26532085352264,0.3175
544,544,85.27861451358984,0.318
545,545,85.31405924132619,0.3185
546,546,85.34238343633558,0.319
541,541,85.39813992319884,0.3195
542,542,85.4274117998626,0.32
540,540,85.49499877405256,0.3205
539,539,85.50584694155089,0.321
538,538,85.5111366718069,0.3215
537,537,85.82169407367502,0.322
535,535,86.15737824096402,0.3225
536,536,86.18732091916294,0.323
534,534,86.25330025329549,0.3235
533,533,87.50344200893733,0.324
532,532,87.64575166362985,0.3245
775,775,92.07399567917778,0.325
774,774,92.20223008399225,0.3255
773,773,92.33609713360042,0.326
772,772,92.5877042097631,0.3265
769,769,92.95628472599765,0.327
770,770,92.97997425048285,0.3275
771,771,93.02261432186518,0.328
768,768,93.18322912310632,0.3285
767,767,93.21070803402222,0.329
765,765,93.21475879515316,0.3295
766,766,93.30167076786907,0.33
764,764,93.77599608170755,0.3305
763,763,95.06066962912604,0.331
762,762,95.0765092390335,0.3315
761,761,95.16349138778614,0.332
759,759,95.18769821226076,0.3325
760,760,95.27667304936264,0.333
