,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
634,634,0.00020016751127644442,0.241
1113,1113,0.00020016751127649205,0.2415
1215,1215,0.0002003022576077324,0.242
1346,1346,0.00020050336280538406,0.2425
1702,1702,0.0002007334169172909,0.243
87,87,0.0002008096383607702,0.2435
522,522,0.0002013027639054637,0.244
604,604,0.000201585415595704,0.2445
1667,1667,0.00020177291980471782,0.245
870,870,0.00020187068059571077,0.2455
989,989,0.0002019117088678486,0.246
262,262,0.0002021482027910582,0.2465
761,761,0.00020225451312738655,0.247
1078,1078,0.00020244862896925042,0.2475
1933,1933,0.00020245118545342213,0.248
1311,1311,0.0002025926846088413,0.2485
1216,1216,0.00020259539451467242,0.249
1465,1465,0.00020269990531752508,0.2495
1568,1568,0.00020270179549930706,0.25
261,261,0.00020368856521761915,0.2505
1569,1569,0.00020404454464264968,0.251
426,426,0.0002042039457657019,0.2515
1116,1116,0.0002043655880276035,0.252
1811,1811,0.00020441035374267182,0.2525
1115,1115,0.00020456424840505267,0.253
1348,1348,0.00020491393088086158,0.2535
1780,1780,0.00020502958671442942,0.254
1349,1349,0.0002050702969517386,0.2545
872,872,0.0002053929452276391,0.255
685,685,0.00020567694576567597,0.2555
431,431,0.00020576769576569065,0.256
991,991,0.00020577860040011024,0.2565
547,547,0.00020609594576570522,0.257
436,436,0.00020617844576570343,0.2575
763,763,0.0002061786093979836,0.258
546,546,0.00020626719576571917,0.2585
430,430,0.00020626840409904146,0.259
1935,1935,0.00020639033546115528,0.2595
688,688,0.00020641798743237239,0.26
437,437,0.00020643944576570483,0.2605
425,425,0.00020647069576573696,0.261
841,841,0.00020648655814760035,0.2615
689,689,0.00020649548743234547,0.262
548,548,0.00020652194576570304,0.2625
1380,1380,0.0002065379457656391,0.263
432,432,0.00020664919576568463,0.2635
393,393,0.0002066897155858327,0.264
1467,1467,0.00020674741216610538,0.2645
1381,1381,0.00020693169576557757,0.265
1733,1733,0.00020693894576573335,0.2655
1041,1041,0.00020706773743228712,0.266
375,375,0.00020712206208976463,0.2665
429,429,0.000207147174932365,0.267
427,427,0.00020715977909901984,0.2675
1042,1042,0.0002072477374323034,0.268
1734,1734,0.00020738769576578164,0.2685
725,725,0.00020742199729452778,0.269
1571,1571,0.00020744318569620779,0.2695
1732,1732,0.00020753850826560338,0.27
64,64,0.00020770475826569282,0.2705
438,438,0.0002077616957656958,0.271
1379,1379,0.00020789800826559457,0.2715
690,690,0.00020792419576576293,0.272
687,687,0.00020793546659902962,0.2725
1704,1704,0.0002079777246631373,0.273
684,684,0.00020804873743229813,0.2735
1043,1043,0.00020809694576562343,0.274
524,524,0.0002081042726562604,0.2745
1382,1382,0.00020813444576561757,0.275
1218,1218,0.00020825863797316156,0.2755
1118,1118,0.00020826557383222147,0.276
496,496,0.00020834418391178154,0.2765
1040,1040,0.00020837796659900487,0.277
1735,1735,0.00020856269576574604,0.2775
92,92,0.00020870110083586607,0.278
553,553,0.00020871894576568462,0.2785
1813,1813,0.00020872420320283612,0.279
637,637,0.00020873606225435358,0.2795
552,552,0.00020873719576569583,0.28
99,99,0.00020875840705943116,0.2805
1728,1728,0.0002087794457656944,0.281
1351,1351,0.00020883318637184825,0.2815
551,551,0.00020899525826567622,0.282
268,268,0.0002090519453089134,0.2825
874,874,0.00020907234426672722,0.283
1729,1729,0.0002091534457657751,0.2835
1901,1901,0.00020916160742459473,0.284
435,435,0.00020919796659901735,0.2845
1727,1727,0.00020927894576550088,0.285
993,993,0.00020945656882810924,0.2855
433,433,0.00020960919576568093,0.286
554,554,0.0002096254457656932,0.2865
263,263,0.00020964117063783496,0.287
420,420,0.0002096579457656622,0.2875
424,424,0.00020966294576568734,0.288
694,694,0.00020973698743242952,0.2885
796,796,0.00020985694576569625,0.289
1374,1374,0.000209870445765592,0.2895
765,765,0.00020993617646490427,0.29
1385,1385,0.00020994873743229725,0.2905
1375,1375,0.0002099624457656546,0.291
545,545,0.0002099975082657246,0.2915
693,693,0.00021003798743246538,0.292
1046,1046,0.00021003798743246538,0.2925
1386,1386,0.0002100452374322881,0.293
95,95,0.00021023165421742845,0.2935
797,797,0.00021028294576574957,0.294
1739,1739,0.0002102956957656943,0.2945
1376,1376,0.0002103884457655969,0.295
1047,1047,0.00021059473743245682,0.2955
1635,1635,0.00021060198743216851,0.296
775,775,0.00021065977311761886,0.2965
1937,1937,0.00021067600978085066,0.297
423,423,0.00021077075826564373,0.2975
442,442,0.0002107951957657228,0.298
419,419,0.0002108501957656661,0.2985
1726,1726,0.00021092796659893942,0.299
1373,1373,0.0002109545082655817,0.2995
1738,1738,0.00021110525826584237,0.3
1081,1081,0.00021112191717480373,0.3005
1636,1636,0.00021126948743233065,0.301
679,679,0.000211298987432329,0.3015
1384,1384,0.00021132096659903787,0.302
541,541,0.00021132869576567792,0.3025
692,692,0.00021144021659902368,0.303
